sample-id	absolute-filepath	direction
MA001B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad214_MA001B_S216_L001_R1_001.fastq.gz	forward
MA001E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad215_MA001E_S217_L001_R1_001.fastq.gz	forward
MA002B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad216_MA002B_S218_L001_R1_001.fastq.gz	forward
MA002E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad217_MA002E_S219_L001_R1_001.fastq.gz	forward
MA003B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad218_MA003B_S220_L001_R1_001.fastq.gz	forward
MA004B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad219_MA004B_S221_L001_R1_001.fastq.gz	forward
MA004E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad220_MA004E_S222_L001_R1_001.fastq.gz	forward
MA005B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad221_MA005B_S223_L001_R1_001.fastq.gz	forward
MA005E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad222_MA005E_S224_L001_R1_001.fastq.gz	forward
MA006B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad223_MA006B_S225_L001_R1_001.fastq.gz	forward
MA007B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad224_MA007B_S226_L001_R1_001.fastq.gz	forward
MA008B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad225_MA008B_S227_L001_R1_001.fastq.gz	forward
BA001B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad226_BA001B_S228_L001_R1_001.fastq.gz	forward
BA001E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad227_BA001E_S229_L001_R1_001.fastq.gz	forward
BA002B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad228_BA002B_S230_L001_R1_001.fastq.gz	forward
BA002E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad229_BA002E_S231_L001_R1_001.fastq.gz	forward
BA003B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad230_BA003B_S232_L001_R1_001.fastq.gz	forward
BA003E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad231_BA003E_S233_L001_R1_001.fastq.gz	forward
BA004B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad232_BA004B_S234_L001_R1_001.fastq.gz	forward
BA004E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad233_BA004E_S235_L001_R1_001.fastq.gz	forward
BA005B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad234_BA005B_S236_L001_R1_001.fastq.gz	forward
BA005E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad235_BA005E_S237_L001_R1_001.fastq.gz	forward
BA006B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad236_BA006B_S238_L001_R1_001.fastq.gz	forward
BA007B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad237_BA007B_S239_L001_R1_001.fastq.gz	forward
BA008B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad238_BA008B_S240_L001_R1_001.fastq.gz	forward
MB001B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad239_MB001B_S241_L001_R1_001.fastq.gz	forward
MB002B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad240_MB002B_S242_L001_R1_001.fastq.gz	forward
MB003B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad241_MB003B_S243_L001_R1_001.fastq.gz	forward
MB004B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad242_MB004B_S244_L001_R1_001.fastq.gz	forward
MB005B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad243_MB005B_S245_L001_R1_001.fastq.gz	forward
MB006B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad244_MB006B_S246_L001_R1_001.fastq.gz	forward
MB007B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad245_MB007B_S247_L001_R1_001.fastq.gz	forward
MB008B	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad246_MB008B_S248_L001_R1_001.fastq.gz	forward
MB001E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad247_MB001E_S249_L001_R1_001.fastq.gz	forward
MB002E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad248_MB002E_S250_L001_R1_001.fastq.gz	forward
MB003E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad249_MB003E_S251_L001_R1_001.fastq.gz	forward
MB004E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad250_MB004E_S252_L001_R1_001.fastq.gz	forward
MB005E	/mnt/c/Users/jmktw/Documents/MEEMA Fastq/Fastq/Fastq/Jarrad251_MB005E_S253_L001_R1_001.fastq.gz	forward
